,Day,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
0,11-09-2020,United Kingdom,2020-11-10 05:40:07,18.2206,-63.0686,3,0,3.0,0.0,"Anguilla, United Kingdom",19.99733368884149,0.0
1,11-09-2020,United Kingdom,2020-11-10 05:40:07,32.3078,-64.7505,214,9,182.0,23.0,"Bermuda, United Kingdom",343.64813000818975,4.205607476635514
2,11-09-2020,United Kingdom,2020-11-10 05:40:07,18.4207,-64.64,71,1,70.0,0.0,"British Virgin Islands, United Kingdom",234.8116545953633,1.4084507042253518
3,11-09-2020,United Kingdom,2020-11-10 05:40:07,19.3133,-81.2546,250,1,236.0,13.0,"Cayman Islands, United Kingdom",380.40170419963476,0.4
4,11-09-2020,United Kingdom,2020-11-10 05:40:07,49.3723,-2.3644,951,48,766.0,137.0,"Channel Islands, United Kingdom",557.7745324019496,5.047318611987381
5,11-09-2020,United Kingdom,2020-11-10 05:40:07,52.3555,-1.1743,1034708,43366,0.0,991342.0,"England, United Kingdom",1848.4454384999606,4.191134117064912
6,11-09-2020,United Kingdom,2020-11-10 05:40:07,-51.7963,-59.5236,13,0,13.0,0.0,"Falkland Islands (Malvinas), United Kingdom",373.2414585127763,0.0
7,11-09-2020,United Kingdom,2020-11-10 05:40:07,36.1408,-5.3536,805,0,692.0,113.0,"Gibraltar, United Kingdom",2389.362144192811,0.0
8,11-09-2020,United Kingdom,2020-11-10 05:40:07,54.2361,-4.5481,357,25,329.0,3.0,"Isle of Man, United Kingdom",419.84194185718314,7.002801120448179
9,11-09-2020,United Kingdom,2020-11-10 05:40:07,16.742498,-62.187366000000004,13,1,12.0,0.0,"Montserrat, United Kingdom",260.05201040208044,7.6923076923076925
10,11-09-2020,United Kingdom,2020-11-10 05:40:07,54.7877,-6.4923,43388,791,0.0,42597.0,"Northern Ireland, United Kingdom",2305.9098639455788,1.8230847238867889
11,11-09-2020,United Kingdom,2020-11-10 05:40:07,-7.9467,-14.3559,2,0,2.0,0.0,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",,
12,11-09-2020,United Kingdom,2020-11-10 05:40:07,56.4907,-4.2026,74355,3040,0.0,71315.0,"Scotland, United Kingdom",1360.9906100708365,4.088494385044719
13,11-09-2020,United Kingdom,2020-11-10 05:40:07,21.69400000000001,-71.7979,707,6,695.0,6.0,"Turks and Caicos Islands, United Kingdom",1826.0240714912961,0.8486562942008486
14,11-09-2020,United Kingdom,2020-11-10 05:40:07,,,0,0,0.0,0.0,"Unknown, United Kingdom",,
15,11-09-2020,United Kingdom,2020-11-10 05:40:07,52.1307,-3.7837,60912,2041,0.0,58871.0,"Wales, United Kingdom",1940.7379086216786,3.35073548726031
16,11-10-2020,United Kingdom,2020-11-11 05:25:30,18.2206,-63.0686,3,0,3.0,0.0,"Anguilla, United Kingdom",19.99733368884149,0.0
17,11-10-2020,United Kingdom,2020-11-11 05:25:30,32.3078,-64.7505,214,9,182.0,23.0,"Bermuda, United Kingdom",343.64813000818975,4.205607476635514
18,11-10-2020,United Kingdom,2020-11-11 05:25:30,18.4207,-64.64,71,1,70.0,0.0,"British Virgin Islands, United Kingdom",234.8116545953633,1.4084507042253518
19,11-10-2020,United Kingdom,2020-11-11 05:25:30,19.3133,-81.2546,253,1,236.0,16.0,"Cayman Islands, United Kingdom",384.96652465003035,0.3952569169960474
20,11-10-2020,United Kingdom,2020-11-11 05:25:30,49.3723,-2.3644,972,48,766.0,158.0,"Channel Islands, United Kingdom",570.0913201836961,4.938271604938271
21,11-10-2020,United Kingdom,2020-11-11 05:25:30,52.3555,-1.1743,1053330,43826,0.0,1009504.0,"England, United Kingdom",1881.7125543971474,4.160709369333446
22,11-10-2020,United Kingdom,2020-11-11 05:25:30,-51.7963,-59.5236,13,0,13.0,0.0,"Falkland Islands (Malvinas), United Kingdom",373.2414585127763,0.0
23,11-10-2020,United Kingdom,2020-11-11 05:25:30,36.1408,-5.3536,814,0,702.0,112.0,"Gibraltar, United Kingdom",2416.07550978006,0.0
24,11-10-2020,United Kingdom,2020-11-11 05:25:30,54.2361,-4.5481,359,25,329.0,5.0,"Isle of Man, United Kingdom",422.19399755386206,6.963788300835653
25,11-10-2020,United Kingdom,2020-11-11 05:25:30,16.742498,-62.187366000000004,13,1,12.0,0.0,"Montserrat, United Kingdom",260.05201040208044,7.6923076923076925
26,11-10-2020,United Kingdom,2020-11-11 05:25:30,54.7877,-6.4923,43902,802,0.0,43100.0,"Northern Ireland, United Kingdom",2333.2270408163267,1.826796045738235
27,11-10-2020,United Kingdom,2020-11-11 05:25:30,-7.9467,-14.3559,2,0,2.0,0.0,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",,
28,11-10-2020,United Kingdom,2020-11-11 05:25:30,56.4907,-4.2026,75187,3079,0.0,72108.0,"Scotland, United Kingdom",1376.2195010341736,4.095122827084468
29,11-10-2020,United Kingdom,2020-11-11 05:25:30,21.69400000000001,-71.7979,711,6,695.0,10.0,"Turks and Caicos Islands, United Kingdom",1836.3551836355184,0.8438818565400844
30,11-10-2020,United Kingdom,2020-11-11 05:25:30,,,0,0,0.0,0.0,"Unknown, United Kingdom",,
31,11-10-2020,United Kingdom,2020-11-11 05:25:30,52.1307,-3.7837,61356,2063,0.0,59293.0,"Wales, United Kingdom",1954.8843433377936,3.3623443510007167
32,11-11-2020,United Kingdom,2020-11-12 05:25:55,18.2206,-63.0686,3,0,3.0,0.0,"Anguilla, United Kingdom",19.99733368884149,0.0
